Region,County,Municipality,BIN,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Date of Last Inspection,Poor Status
1,Albany,Albany (City),1053380,0.1 MI N JCT RTE 5 & I90,5 X,PATROON CREEK,City,1968,08/07/2018,N
1,Albany,Albany (City),1092549,JCT US 9 & PATROON CREEK,9   9 11081025,CSX TRANS/ AMTRAK,NYSDOT,1971,12/06/2017,N
1,Albany,Albany (City),1092509,JCT RTE 9 & I90,9   9 11081028,RAMP TO 90I EB,NYSDOT,1971,07/29/2019,N
1,Albany,Albany (City),1093029,DOWNTOWN ALBANY,9 X,HUDSON RIVER,NYSDOT,1969,11/10/2019,N
1,Albany,Albany (City),1054460,0.1 MI S JCT RT 9W & I787,9W  9W11012007,787IX,NYSDOT,1966,04/30/2019,N
1,Albany,Albany (City),1007620,JCT OF US 9W & I787,9W  9W11012008,787I787I11011003,NYSDOT,1966,08/01/2018,N
1,Albany,Albany (City),1007610,.7 MI S JCT US 9W & I787,9W  9W11051120,NORMANS KILL,NYSDOT,1987,07/13/2018,N
1,Albany,Albany (City),1015980,JCT RTS 20 & 85,20  20 11202010,85  85 11012010,NYSDOT,1960,10/01/2019,Y
1,Albany,Albany (City),1034491,JCT I90 & RTE 85,85  85 11012021,90I 90I11011021,NYSDOT,1968,09/12/2018,N
1,Albany,Albany (City),1034492,JCT I90 & RTE 85,85  85 11012021,90I 90I11011021,NYSDOT,1968,09/12/2018,N
1,Albany,Albany (City),1033102,.4MI N JCT 87I+WASH.AV.EX,87I 87I11081000,90I 90I11011001,NYSDOT,1959,05/17/2019,N
1,Albany,Albany (City),1033101,.4MI N JCT 87I+WASH AV.EX,87I 87I11081000,90I 90I11011001,NYSDOT,1959,05/17/2019,N
1,Albany,Albany (City),1033111,JCT I87 & RENSSELAER LAKE,87I 87I11081002,RENSSELAER LAKE,NYSDOT,1959,04/09/2019,N
1,Albany,Albany (City),1033112,JCT I87 & RENSSELAER LAKE,87I 87I11081002,RENSSELAER LAKE,NYSDOT,1959,04/09/2019,N
1,Albany,Albany (City),1034479,JCT OF I90 & FULLER RD,90I 90I11011006,FULLER RD -CR 156,NYSDOT,1968,05/13/2019,N
1,Albany,Albany (City),1034519,JCT I90 & RTE 5,90I 90I11011023,S R 5-CENTRAL AVE,NYSDOT,1968,05/09/2019,N
1,Albany,Albany (City),1092589,1.3 MI SE JCT I90 & RT 5,90I 90I11011036,EXCHANGE ST EXT,NYSDOT,2004,07/18/2018,N
1,Albany,Albany (City),1092461,0.5 MI NW JCT I90 & I787,90I 90I11013014,BROADWAY,NYSDOT,1967,05/09/2018,N
